Name,Address,Contact no.,Email
Government Polytechnic Buxar Mohaniya,"Address : Campus Of Govt. Polytechnic Kaimur, At- Machhanhatta, P.O.- Sahwazpur Mohaniya, Bihar State, India",6187 - 268009,gpbuxar2017@gmail.com
Shridevi Institute Of Engineering And Technology Tumkur,"Address : Marelenahally, Sira Road Tumkur, Karnataka State, India",816 - 2212629,info@shrideviengineering.org
Dhemaji Polytechnic Silapathar,"Address : Silapathar, Dist : Dhemaji, Pin: 787058, Assam. Silapathar, India",3753 - 255201,dhemajipolytechnic@gmail.com
Nalbari Polytechnic,"Address : Chandkuchi Nalbari, Assam State, India",3624 - 3612382276,nalbaripolytechnic@gmail.com
"Purnea College Of Engineering, Purnia","Address : Purnea College Of Engineering Purneanear Ram Nagar And Subhash Nagar, Purnea-854303, Dist : Purnia, Bihar State, India",6424 - 242564,javaneeraj@gmail.com
Kashinath Institute Of Polytechnic,"Address : Village- Narayanpur Kakarahi, Post- Daulatpur, Ghazipur Pincode: 233304, Uttar Pradesh State, India","+91-8808818118, 5495 - 223038",knipgzp@gmail.com
Vaishno College Of Engineering Thapkour,"Address : Village - Thapkour, Post Office - Bhadroya, Tehsil Nurpur, Distt. Kangra, H.P, Himachal Pradesh State, India",1893 - 233300,varun.gupta@vaishno.edu.in
Aurum Institute Of Technology Rajkot,"Address : Ishwariya Village, Opp. Hill View Club, Kalawad Road, Rajkot., Gujarat State, India",281 - 9099063079,bec079owner@gtu.edu.in
Greater Noida College,"Greater Noida college is provider of Diploma, Graduate Degree Engineering And Technology courses. Get institute course list, fees and contact. .. more details",120 - 2320210,blg@gnit.net
Government Polytechnic Sitamarhi,"Address : Birpur, Sursanddistt-Sitamarhibihar - 843331 Janakpur Road, Dist : Sitamarhi, Bihar State, India",6228 - 289289,principal@gpsitamarhi.in
Rao Birender Singh Sate Institute Of Engineering And Technology Zainabad Rewari,"Address : Village Zainabad District Rewari, Haryana State, India",1274 - 1274265635,drdsmor@gmail.com
Government Engineering College Baran Antah,"Antah college is provider of Graduate Degree Engineering And Technology courses. Get institute course list, fees and contact. .. more details",7432 - 242810,principalgecj@gmail.com
Sgb Amravati University,"Address : Topowan Roadcamp Amravati, Maharashtra State, India",721 - 2662358,reg@sgbau.ac.in
"Supaul College Of Engineering, Supaul","Address : Thana No-215, Ward N0-07, Nagarparishad Ward N0-24 Supaul-852131, Bihar State, India",6471 - 286010,supaulcollege@gmail.com
Kalinga Institute Of Technology Naya Raipur,"Address : Vill- Kotni, Near Mantralaya, Naya Raipur, Chhattisgarh State, India",771 - 7714092070,kalingauniversity1@gmail.com
Madhupur Polytechnic,"Address : Madhupur, Deoghar, Jharkhand Madhupur, India",6438 - 6591302,abadajena@yahoo.co.in
National Institute Of Electronics And Information Technology - Agartala,"Address : R.K.Nagar (Opposite Neepco), Khayerpur Agartala, Dist : West Tripura, India",381 - 3812391010,niladridas@nielit.gov.in
Government Polytechnic College Bareli,"Address : Govt Polytechnic Ocollege Bareli Campus S.V. Polytechnic Bhopal M.P., Dist : Raisen, Madhya Pradesh State, India",755 - 7552660556,gpcbareli17@gmail.com
"Techno India University, West Bengal Joka","Address : Bishnupur, Joka, Kolkata, Dist : South 24 Parganas, West Bengal State, India",33 - 23576163,subashiscse@gmail.com
Saharsa College Of Engineering,"Address : Campus Of Govt. Polytechnic, Sahrsha Saharsa, Bihar State, India",6478 - 224398,aksingh_bitmesra@yahoo.co.in
Karimganj Polytechnic,"Address : Maizgram, Karimganj, Assam State, India",3843 - 260485,principalkxjpoly@gmail.com
Engineering College Dholpur,"Address : Village & Tehsil -Surajpura Dholpur, Rajasthan State, India",5644 - 234911,principal.gecdholpurraj@gmail.com
"Government Polytechnic College, Agar Malwa","Address : Government Polytechnic College, Agar Malwa, Dist : Shajapur, Madhya Pradesh State, India",7362 - 7362259354,prinpoly.agm@mp.gov.in
"Snd College Of Engineering & Research Center, Babhulgaon Yeola","Address : A/P Babhulgaon Tal. Yeola Dist. Nashikstate Maharashtrapin Code-423401, India",2559 - 2559225011,hnkudal@gmail.com
Government Polytechnic Harakh,"Address : Government Polytechnic Jamunia Deeh Harakh Barabanki, Uttar Pradesh State, India",5248 - 524230680,gp.harakh@rediffmail.com
Government Polytechnic (Okhallkhal) Pratapnagar Tehri,"Address : Government Polytechnic (Okhalakhal) Pratapnagar Tehri, Dist : Tehri Garhwal, Uttarakhand State, India",1376 - 1346250169,poly_pn@rediffmail.com
"Government Girls Polytechnic, Risia","Address : Risia, Nanpara, Bahraich, Uttar Pradesh State, India",5252 - 2232689,principal.ggp.risia@gmail.com
"University Institute Of Emerging Technologies (UIET), Gharuan Mohali","Address : V.P.O.Gharuanteshil Kharardistt. Mohali SAS Nagar (Mohali), Punjab State, India",160 - 3014401,chancellor@cumail.in
Tulas Institute Dehradun,"Address : Mehre-Ka-Gaonpo-Selaquidhoolkottehsil- Vikas Nagardehradunpin Code- 248197 Dehradun, Uttarakhand State, India",135 - 2699300,director@tulas.edu.in
Saiganapathi Engineering College Gidijala,"Address : Gidijala Village, Anandapuram Mandal, Visakhapatnam District, Pin-531173 Gidijala, Dist : Vishakhapatnam, Andhra Pradesh State, India",8933 - 220360,sg.correspondent@gmail.com
Rsr Rungta College Of Engineering & Technology Bhilai,"Address : Rungta  Educational Campus, Kohka Road, Kurud Bhilai, Dist : Durg, Chhattisgarh State, India",788 - 6660666,sanjay@rungtacolleges.com
"Department Of Futures Studies, University Of Kerala Trivandrum","Address : Dept Of Futuresstudies, Aquatic Biology Building, Kariavattom Campus, University Of Kerala, Kariavattom-695581 Trivandrum, Dist : Thiruvananthapuram, India",471 - 2305321,mchangat@gmail.com
M.B.M. Engineering College Jodhpur,"Address : Faculty Of Engineeringjn Vyas University, Residency Roadjodhpur Jodhpur, Rajasthan State, India",291 - 2514790,deanmbm@jnvu.edu.in
"Government Toolroom And Training Centre, Mysore","Address : 93 & 94, Belagola Indl. Area K.R.S.Road, Mysore-570016, Karnataka, India",821 - 2582750,pggttcmysore@gmail.com
"Trinity Academy Of Engineering, Pune","Address : S.No.25 & 27, At-Pisoli, Post-Yewalewadi, Near Bopdevghat, Tal-Haveli, Pune., Maharashtra State, India",20 - 8446091199,os.tae@kjei.edu.in
University Institute Of Engineering And Technology Kanpur,"Kanpur college is provider of Graduate Degree, Post Graduate Engineering And Technology, Mca courses. Get institute course list, fees and contact. .. more details",512 - 2591976,dr.rashiagrawal@gmail.com
Government Polytechnic Pokhari,"Address : Vill-Udaipur/Sinaupost-Udamadateh-Pokhari Pokhari, Dist : Chamoli, Uttarakhand State, India",1372 - 9412082225,gppokhari2015@gmail.com
Jain College Of Engineering & Technology Hubli,"Address : 404/4, 404/5, Sai Nagar, Unkal, Hubli, Dist : Dharwad, Karnataka State, India",831 - 2411192,jce.vishu@gmail.com
Shri Vishnu Engineering College For Women Bhimavaram,"Address : Vishnupur, Bhimavaram, Dist : West Godavari, Andhra Pradesh State, India",8816 - 250864,principal@svecw.edu.in
As-Salam College Of Engineering And Technology Thiruvidaimarudur,"Address : Thirumangalakudi - Aduthuraithiruvidaimaruthur - 612 102thanjavur District Thiruvidaimarudur, Dist : Thanjavur, Tamil Nadu State, India",435 - 2473355,ascetao2017@gmail.com
Younus College Of Polytechnic Kottarakkara,"Kottarakkara college is provider of Diploma Engineering And Technology courses. Get institute course list, fees and contact. .. more details",474 - 2408860,ycewomen@gmail.com
V.S.M. College Of Engineering Ramachandrapuram,"Address : V.S.M. College Of Engineeringramachandrapurameast Godavari District. Ramachandrapuram, Dist : East Godavari, Andhra Pradesh State, India",8857 - 9121214434,prinicipal@vsm.edu.in
"Chaudhary Beeri Singh College Of Engineering & Management, Agra","Address : Ch. Beeri Singh College Of Engineering & Management, Poiya, Near 400 Kv Sub Station, Pili Pokhar, Aligarh Road, Agra-282006, Uttar Pradesh State, India",562 - 3219000,cbsem547@gmail.com
Pavendar Bharathidasan College Of Engineering & Technology Pudukkottai,"Address : Thanjai Natarajan Nagar, Opp. To Bharathidasan University, Pudukkottai Main Road, Mathur, Kulathur, Pudukkottai.622515, Tamil Nadu State, India",4339 - 250356,pabprincipal@gmail.com
M G M Polytechnic College Kilimanoor,"Address : Pulimath P.O. Kilimanoor, Dist : Thiruvananthapuram, Kerala State, India",470 - 2675556,mgmptkmr@gmail.com
Government Polytechnic College Sevvapet,"Address : Sevvapet, Thiruvallur District. Sevvapet, Tamil Nadu State, India",44 - 27620733,gptcsevvapet@gmail.com
Eluru College Of Engineering & Technology,"Address : Duggirala (V), Pedavegi(M), West Godavari District Eluru, Andhra Pradesh State, India",8812 - 215655,bk_perali@yahoo.com
Indian Naval Academy Ezhimala,"Address : Indian Naval Academy Ezhimala, Dist : Kannur, Kerala State, India",4985 - 224149,principal-navy@nic.in
"Mlv Textile & Engineering College, Bhilwara","Address : Pur Road, Bhilwara, Rajasthan State, India",1482 - 240393,mlvti_jp1@sancharnet.in
Sbm College Of Engineering & Technology Dindigul,"Address : Sbm Nagar, Thamaraipadi (Po), Trichy Road, Dindigul - 624 005., Tamil Nadu State, India",451 - 2050989,sbmecollege@gmail.com
All Saints College Of Technology Bhopal,"Address : Nh 12 Gandhi Nagar Bhopal, Madhya Pradesh State, India",755 - 2528644,contact@asctbhopal.com
Velalar College Of Engineering And Technology Erode,"Address : Perundurai Roadthindal Posterode Erode, Tamil Nadu State, India",424 - 2244201,principal@velalarengg.ac.in
Kamrup Polytechnic Baihata Chariali,"Address : Baihata Chariali, Kamrupassam Baihata Chariali, Assam State, India",3621 - 2527164,kamruppolytechnic@gmail.com
Lakhimpur Polytechnic Bihpuria,"Address : Bihpuria Bihpuria, Dist : Lakhimpur, Assam State, India",3752 - 3612382276,lakhimpurpolytechnic@gmail.com
Mina Institute Of Engineering Technology For Women Miryalaguda,"Address : Near Fire Station, Ramachandragudem, Miryalaguda.Dist:nalgonda, Pin : 508207, State : A.P, Dist : Nalgonda, Telangana State, India",8689 - 231448,mietw2008@gmail.com
"Government Tool Room And Training Centre, Chikodi","Address : Survey No: 326/A Near Govt Degree College Building, Nippani Road, Chikodi - 591201, Dist : Belgaum, Karnataka State, India",831 - 2442407,gttcchikodi@gmail.com
Vishwakarma Institute Of Technology Pune,"Pune college is provider of Graduate Degree, Post Graduate Engineering And Technology, Mca courses. Get institute course list, fees and contact. .. more details",20 - 24202221,director@vit.edu
Asia Pacific Institute Of Information Technology Sd India Panipat,"Address : Faridpur Road, G.T. Road, Karnal Side, Panipat-132103, Haryana State, India",180 - 9996112444,director@apiit.edu.in
Loyola Institute Of Technology & Science Thovalai,"Address : P.Bo.No.2, Thovalai - Rajavoor Road, Loyola Nagar, Theroor Village, Thovalai, Kanyakumari Dt., Tamil Nadu State, India",4652 - 293571,lites2008@hotmail.com
Shri Sai College Of Engineering Aurangabad,"Aurangabad college is provider of Graduate Degree Engineering And Technology courses. Get institute course list, fees and contact. .. more details",240 - 6543731,appoint01@gmail.com
Vels Institute Of Science Technology And Advanced Studies Pallavaram,"Address : Velan Nagar, P.V.Vaithiyalingam Road Pallavaram, Dist : Kanchipuram, Tamil Nadu State, India",44 - 22662502,registrar@velsuniv.ac.in
Tripura Institute Of Technology Agartala,"Address : Tripura Institute Of Technology, Po Narsingath Aerodrome Agartala, Dist : West Tripura, India",381 - 3812342330,mail2tit@gmail.com
Raajdhani Engineering College Bhubaneswar,"Address : Near Mancheswar Rly.Stationmancheswarbhubaneswarkhordha751017orissa Bhubaneswar, Dist : Khordha, Odisha State, India",674 - 2972892,rec_bbsr@yahoo.co.in
P.T.R. College Of Engineering & Technology Madurai,"Address : Thanapandiyan Nagar, Madurai - Tirumangalam Road, Madurai - 625 008, Tamil Nadu State, India",452 - 2489001,principal.ptrcet@gmail.com
Jiet Institute Of Design And Technology Jodhpur,"Address : Jiet Universe, N. H. - 65pali Road, Mogra Jodhpur, Rajasthan State, India",291 - 2868462,navneet@jietjodhpur.ac.in
Bhubaneswar Engineering College (Bec),,674 - 6742565215,chairman@becbbsr.ac.in
R D Engineering College Ghaziabad,"Address : 9th Km Mile Stone On Nh-58 Delhi Meerut Roadduhai, Ghaziabad, Uttar Pradesh State, India",120 - 2679301,info@rdec.in
"Bapurao Deshmukh College Of Engineering, Sewagram","Address : At-Sewagramtah & Dist. -Wardhamaharashtrapin. 442 102 Sewagram, Dist : Wardha, Maharashtra State, India",7152 - 284011,princi.bdces@gmail.com
"S.V.P.M.S College Of Engineering Malegaon, Baramati","Address : A/P- Malegaon (Bk), Tal- Baramati, Dist-Pune, Pin- 413115, Maharashtra, India, Dist : Pune",2112 - 255113,coembk.office@gmail.com
Federal Institute Of Science And Technology (Fisat) Angamaly,"Address : Hormis Nagar, Mookkannoor P.O, Angamaly, Dist : Ernakulam, Kerala State, India",484 - 2725272,mail@fisat.ac.in
Adhi College Of Engineering And Technology Kancheepuram,"Address : 6, Munu Adhi Nagar, Sankarapuram, Puliambakkam Post, Near Wallajabad, Kancheepuram, Dist : Kanchipuram, Tamil Nadu State, India",44 - 9789133629,office@adhi.edu.in
Radha Vallabh Institute Of Technology Immampur,"Address : Emampur Kuthan Immampur, Dist : Jaunpur, Uttar Pradesh State, India",5352 - 225230,ishansewatrust@gmail.com
Kles Kle College Of Engineering And Technology Chikodi,"Address : Kles Kle College Of Engineering And Technology, Banantikodi Road Chikodi, Belgaum District-591 201, Karnataka, India",918338 - 257102,principal@klecet.edu.in
Ramireddy Subbarami Reddy Engineering College Kadanuthala,"Address : N.H.5, Kadanuthala (Village), Bogole (Mandal), Sps Nellore (District), Pin - 524 142, Andhra Pradesh State, India",8626 - 297655,principal.rsrec@gmail.com
Dmi College Of Engineering Chennai,"Address : St.Josephs Town, Mevalurkuppam B Village, Nazarethpet Post, Palanchur Chennai, Dist : Kanchipuram, Tamil Nadu State, India",44 - 26810642,dmidmicechen@gmail.com
Scholars Institute Of Technology & Management Guwahati,"Address : Vill Gog, Po: Garchuk Guwahati, Dist : Kamrup, Assam State, India",361 - 2460515,jhumurlodh@saet.in
"Government College Of Engineering, Aurangabad","Address : Government College Of Engineeringstation Roadosmanpura, Aurangabad - 431 005 (Maharashtra), Maharashtra State, India",240 - 2366101,principalgeca@yahoo.com
Kopal Institute Of Science & Technology Bhopal,"Address : Gram Kalkheda, Tehsil -Huzur, District Bhopal, Madhya Pradesh State, India",755 - 2896642,kistechbhopal@gmail.com
"Chartered Institute Of Technology, Abu Road","Address : Khasara No. 276/252, Village Danvav, Mount Road, Talhati Abu-Road Distric- Sirohi, Rajasthan Abu Road, India",2974 - 228703,citaburoad@gmail.com
S.R.K.Institute Of Technology Vijayawada,"Address : 3-41, Enikepadu, Vijayawada, Dist : Krishna, Andhra Pradesh State, India",866 - 2843839,srktech@gmail.com
Oriental Institute Of Science & Technology Bhopal,"Bhopal college is provider of Graduate Degree, Post Graduate Engineering And Technology, Mca courses. Get institute course list, fees and contact. .. more details",755 - 2529057,sandeepmonga@oriental.ac.in
Viswajyothi College Of Engineering & Technology Muvattupuzha,"Address : Vazhakulam P.O, Muvattupuzha, Kerala - 686670, Dist : Ernakulam, India",485 - 2262211,principal@vjcet.org
Kongu Engineering College Perundurai,"Address : Perundurai Railway Station Road, Thoppupalayamperundurai, Erode - 638 052 Perundurai, Tamil Nadu State, India",4294 - 220583,principal@kongu.edu
Canara Engineering College Mangalore,"Mangalore college is provider of Graduate Degree, Post Graduate Engineering And Technology courses. Get institute course list, fees and contact. .. more details",824 - 2278666,canarait@gmail.com
Mohandas College Of Engineering And Technology Thiruvananthapuram,"Address : Anadnedumangad, Thiruvananthapuram - 695544.Kerala State Ph: 0472-2814578/2802552/2813039mobile: 9847064246fax: 0472-2814575e-Mail: Chairman@mcetonline.Commail@mcetonline.Comwebsite:www.Mcetonline.Com, Kerala State, India",472 - 2813039,chairman@mcetonline.com
Sat Priya Group Of Institutions Rohtak,"Address : 0.5 Km Milestone Rohtak, Haryana State, India",1262 - 8222931624,mukesharyas@yahoo.com
University Visvesvaraya College Of Engineering Bangalore,"Address : University Visvesvaraya College Of Engineering (Uvce), Kr Circle, Bangalore University, Bangalore 560001, Karnataka., Dist : Bangalore Urban, India",80 - 8022961801,rheddur@yahoo.com
Kle Technological University Hubli,"Address : Bvbhoomaraddi College Campus, Vidyanagar, Hubballi Hubli, Dist : Dharwad, Karnataka State, India",836 - 2378150,registrar@kletech.ac.in
Government Engineering College Ramnagara,"Address : Doddamannugudde, Ramanagar, Ramanagar District - 571 511 Ramnagara, Dist : Ramanagara, Karnataka State, India",80 - 28014500,pplgecr2010@gmail.com
Csi College Of Engineering Ooty,"Address : Csi College Of Engineeringketti Valleythe Nilgiris-643 215.Tamilnadu, South India. Ooty, Tamil Nadu State",423 - 2517474,info@csice.edu.in
Bit Institute Of Technology Hindupur,"Address : S.No. 284/1, Malgur (V), Beerepalli (P), H.S. Mandir (S.O), Hindupur, Dist : Anantapur, Andhra Pradesh State, India",8556 - 249677,principal.bitit@gmail.com
Lr Engineering And Technology Solan,"Address : Village Jabli-Kyar, P.O. Oachghat Solan, Himachal Pradesh State, India",1792 - 252857,lrsolan@gmail.com
